City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
463,kahului,US,75.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
467,manuk mangkaw,PH,83.71,broken clouds,4.8,119.85,
474,kavaratti,IN,83.52,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
479,cravo norte,CO,85.78,moderate rain,6.3017,-70.2041,Hotel Potosí Los Mirtos
485,cap malheureux,MU,75.69,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
488,bubaque,GW,77.99,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
491,amahai,ID,78.1,moderate rain,-3.3333,128.9167,HOTEL ISABELA
492,axim,GH,83.19,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
496,avera,US,76.71,scattered clouds,33.194,-82.5271,
497,oron,NG,82.04,light rain,4.8256,8.2343,Aqua Belloni Lodge
501,marsa matruh,EG,89.8,scattered clouds,31.3525,27.2453,Beau Site
508,buchanan,LR,78.76,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
510,salalah,OM,84.29,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
515,hurricane,US,88.14,scattered clouds,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
516,faya,SA,77.11,broken clouds,18.3851,42.4509,مقبرة ال مجمل
519,cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
522,hirara,JP,79.3,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
523,trat,TH,82.78,clear sky,12.5,102.5,สวนหนิง-อัศ
527,hambantota,LK,80.76,broken clouds,6.1241,81.1185,Bungalow 63
529,camapua,BR,89.73,broken clouds,-19.5314,-54.0439,Comercial Estrela
531,bitung,ID,79.65,overcast clouds,1.4451,125.1824,K2 Lembeh
532,yamethin,MM,78.51,broken clouds,20.4333,96.15,အလင်းရောင် ဘက်ထရီ
533,faanui,PF,80.1,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
536,alta floresta,BR,87.24,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
537,caravelas,BR,83.16,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
540,port blair,IN,82.24,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
541,shizuishan,CN,75.29,overcast clouds,39.2333,106.7694,Xingji Hotel
